ImageName,ImageFolder,Width ,Height,0x,0y,0z,1x,1y,1z,2x,2y,2z,3x,3y,3z,4x,4y,4z,5x,5y,5z,6x,6y,6z,7x,7y,7z,8x,8y,8z,9x,9y,9z,10x,10y,10z,11x,11y,11z,12x,12y,12z,13x,13y,13z,14x,14y,14z,15x,15y,15z,16x,16y,16z,17x,17y,17z,18x,18y,18z,19x,19y,19z,20x,20y,20z,21x,21y,21z,22x,22y,22z,23x,23y,23z,24x,24y,24z,25x,25y,25z,26x,26y,26z,27x,27y,27z,28x,28y,28z,29x,29y,29z,30x,30y,30z,31x,31y,31z,32x,32y,32z
Boy_(1).jpeg,boys photos,500,625,303.18487,164.64792,-458.72968,321.42007,147.58229,-416.00409,330.26689,150.52624,-415.93802,338.27513,153.0708,-415.83544,293.52534,137.58083,-446.4415,282.31525,134.02224,-446.435,271.73355,130.91284,-446.61048,339.76579,163.57839,-200.88783,249.5442,137.21161,-335.16061,306.73313,195.62222,-377.4623,275.54184,186.10548,-416.46037,321.85644,295.02705,86.47715,170.13088,271.62952,-373.69445,333.37742,450.74224,328.22633,145.60577,493.29411,-407.58178,382.68751,396.24289,426.35235,0.0,0.0,0.0,420.45069,379.63647,449.49186,0.0,0.0,0.0,421.2603,355.85672,463.11265,0.0,0.0,0.0,403.92515,362.65645,431.65687,0.0,0.0,0.0,276.82835,600.78003,111.04638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy_(10).jpg,boys photos,3744,5616,1917.47818,1915.56157,-8105.56348,2111.35918,1634.24065,-7633.24221,2232.71415,1635.46111,-7636.76546,2352.65517,1632.40293,-7641.35362,1705.412,1613.02418,-7587.97648,1544.0013,1601.56805,-7585.71453,1412.59321,1592.92775,-7589.05657,2585.26823,1747.05596,-4702.06649,1242.10471,1710.48464,-4321.79283,2122.27839,2277.18922,-7011.70738,1644.65273,2295.97749,-6908.5058,3455.10024,3675.17328,-3054.72078,372.00826,3591.32099,-2310.75893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy_(100).jpg,boys photos,3456,5184,1860.66527,1149.14308,-180.38883,1904.32645,1102.73318,-40.96668,1925.96752,1111.77246,-40.87665,1946.89792,1121.37527,-41.11641,1836.52776,1084.60177,-35.45989,1812.75279,1080.40452,-35.65039,1789.97649,1077.37356,-35.83805,1971.46596,1177.20861,565.33413,1728.80811,1133.30948,566.92703,1893.45266,1234.36606,32.59409,1802.14021,1213.47791,31.0442,2132.97013,1605.54264,494.22079,1494.78408,1497.75317,678.77911,2160.49953,2158.71161,217.93791,1242.09177,1381.55514,136.95287,2043.0263,2569.34358,-74.94816,1695.62202,1309.9985,-20.05745,2009.06001,2731.18538,-207.90869,1803.13474,1290.42404,-175.06105,1915.91627,2698.8727,-315.33125,1824.4728,1291.17465,-66.15907,1912.63973,2654.51804,-116.01868,1793.69797,1311.75481,-5.91462,1986.97934,2511.27948,-41.55109,1563.27007,2500.14007,42.9175,2111.34183,3066.71443,-1742.63482,1641.01063,3018.19335,-1870.22605,1744.92835,3933.14165,-1915.74735,1665.41182,3967.22887,-2035.2832,1699.20796,3999.14202,-1948.57883,1697.52489,4099.50584,-2059.63618,1623.94612,4274.74083,-2825.06369,1607.2321,4283.12559,-2855.97242
Boy_(101).jpg,boys photos,4000,5000,1880.26929,877.9195,-537.88215,1883.05569,782.83459,-429.28511,1876.77598,779.02809,-429.93766,1868.01982,773.87348,-430.58094,1872.21885,779.24043,-711.50488,1858.46269,772.85916,-711.48074,1841.00914,764.95141,-712.12411,1743.37363,753.52892,133.12976,1704.81181,746.24866,-1141.81018,1823.13001,952.02848,-302.20932,1805.66752,943.22145,-673.518,1601.42434,1237.1897,886.41894,1354.5804,1110.05068,-1598.32418,1693.8529,1756.60893,1434.71122,1141.09242,1781.54409,-2031.83365,2112.56123,2030.58138,858.04492,1686.07092,2122.69336,-2304.33488,2251.96314,2099.38839,763.54706,1819.03696,2192.94623,-2569.94987,2273.97013,2044.12639,515.80322,1862.74958,2108.22359,-2559.68046,2207.40128,2027.54036,730.26693,1824.22423,2090.27201,-2289.52551,1516.65139,2352.25439,811.29688,1321.34128,2416.02197,-811.00947,2359.46131,2479.15938,724.6781,1445.13953,3438.75349,-926.16308,2107.97119,3370.01354,1556.36287,1408.72884,4328.85945,-446.28885,2003.61443,3493.1922,1601.80461,1352.77677,4395.21641,-425.16449,2511.60121,3541.89873,1333.59146,1792.50896,4566.09875,-1171.22996
Boy_(102).jpg,boys photos,4000,5000,1488.95669,1564.07177,-2190.2225,1552.8276,1381.84905,-2211.72452,1625.92149,1361.54026,-2211.39121,1700.72067,1341.58373,-2211.65013,1405.07305,1419.36749,-2042.58132,1372.12634,1426.92834,-2043.01262,1338.65428,1434.4123,-2044.0886,1875.56195,1351.46677,-1786.73363,1414.46781,1446.0814,-1018.64946,1684.93414,1687.95139,-2000.79036,1495.01348,1721.83722,-1775.86341,2310.32562,2174.69752,-2227.64993,1748.77131,1982.67326,177.6358,1710.7594,3673.71798,-2292.29212,1103.30021,2666.97913,720.0461,437.12521,3780.26694,-1715.59489,391.85607,2905.09462,122.82243,199.65315,3858.67149,-1911.40151,196.89167,3045.67754,6.85221,186.43034,3638.38077,-1875.52547,197.6527,2995.01181,-251.98886,269.15574,3661.68588,-1683.81,289.44349,2971.5097,-13.10147,2532.77159,4035.3182,-807.72001,2099.06864,3625.3956,807.71595,746.67287,4382.16656,-1512.63309,726.35746,2891.03389,1095.91055,200.966,4930.88722,407.80729,724.69628,4181.62555,1465.12687,0.0,0.0,0.0,878.34239,4414.54917,1503.65794,0.0,0.0,0.0,186.97405,4563.30359,1677.58489
Boy_(103).jpg,boys photos,3744,5616,1892.37382,2454.36895,-5330.64201,2158.92815,2170.60225,-5202.17382,2296.71102,2174.7326,-5205.24272,2434.30755,2176.81903,-5207.9193,1857.80291,2139.3933,-4909.57474,1799.03545,2125.74094,-4905.46325,1744.63735,2109.43845,-4909.10566,2704.00709,2277.83125,-3547.10924,1809.50611,2200.32563,-1980.74621,2134.79832,2792.32414,-4674.96596,1791.87158,2748.01164,-4229.32523,3539.04692,3859.64966,-2479.94194,933.14612,3975.13318,-442.02133,0.0,0.0,0.0,358.22246,5386.60189,931.98402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy_(104).jpg,boys photos,4000,6000,2209.63931,1345.95394,-814.85814,2273.10562,1263.63319,-626.34271,2303.0231,1271.83932,-626.26183,2330.2424,1278.58347,-626.63001,2171.49377,1241.79447,-679.28386,2132.56431,1233.43992,-679.2289,2099.06864,1224.40499,-678.66647,2358.46615,1308.155,424.18957,2025.5928,1252.71749,147.24423,2253.83544,1433.92128,-414.68114,2124.35651,1421.47359,-496.2495,2574.06783,1805.85158,885.22577,1775.5065,1732.15413,142.76095,2765.02872,2408.72151,1130.45251,1430.21238,1669.75611,-1538.28204,2768.7993,2973.21868,859.98297,1617.0994,1384.22924,-3211.1938,2754.56476,3139.28783,777.74638,1744.00043,1442.0549,-3628.2084,2697.85547,3107.45144,548.92236,1739.95185,1319.27481,-3505.47695,2683.40492,3052.09386,771.70384,1708.06611,1390.19528,-3225.35825,2481.22263,3094.57719,199.28311,1980.46494,3106.46975,-199.3309,2450.22011,4141.1562,-400.56804,2097.20635,4129.43101,-445.73501,2044.74545,4954.79679,963.6609,2272.63808,5001.29557,827.26419,1912.82368,5021.57629,1055.60303,2367.60306,5127.87223,902.68677,2085.51812,5420.00878,75.46759,2271.04449,5384.9591,-137.79162
Boy_(105).jpg,boys photos,612,408,276.28962,110.38427,-248.36792,282.22086,92.80428,-227.1437,289.07868,89.71231,-227.14117,295.3288,86.89787,-227.30917,265.72452,97.83758,-231.68607,260.61389,97.96954,-231.83166,255.40331,98.05025,-231.91333,304.33664,86.66515,-87.79703,249.73701,104.9391,-119.10964,293.24967,121.08838,-194.5527,271.07366,126.15695,-204.35919,362.18049,101.89339,-71.39916,254.11354,183.87329,-13.94524,464.30329,158.38586,-212.32792,218.30693,266.84068,-190.09317,365.54661,151.65888,-417.54945,203.54923,236.65986,-412.7709,343.80471,154.85245,-462.48599,189.8389,230.97753,-446.42281,333.12507,145.24853,-437.87206,196.70595,221.47084,-418.01929,338.39017,144.82993,-411.67393,204.63069,221.90751,-407.76703,488.8413,186.57147,-0.64292,459.99213,262.29184,0.44297,0.0,0.0,0.0,580.97944,310.48434,-209.50113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy_(106).jpg,boys photos,4000,5000,1958.76217,2331.76887,-2708.48632,2065.58442,2172.07402,-2591.44831,2143.65363,2167.97948,-2590.30795,2205.4534,2167.84984,-2592.31782,1839.1552,2193.64509,-2557.61123,1770.52736,2205.10155,-2556.01335,1715.40356,2218.43511,-2557.42002,2335.55007,2261.53374,-1559.10039,1659.07013,2329.29841,-1305.04954,2138.20243,2518.17495,-2298.10023,1856.87637,2562.37417,-2222.96476,3015.67936,3368.10112,-1012.83121,1222.92972,3407.33647,-1035.88903,3216.17794,4592.5802,-647.6863,918.7305,4587.54063,-485.49306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boy_(107).jpg,boys photos,3451,3963,1308.04689,1452.74217,-2373.86661,1395.74471,1268.09785,-2336.68918,1463.03341,1246.91,-2336.81157,1537.72581,1227.35721,-2338.81957,1254.78828,1327.098,-2112.94685,1227.02647,1343.65017,-2109.64872,1196.59545,1360.07951,-2111.21756,1736.57753,1268.74861,-1569.29484,1271.22244,1422.46129,-489.83781,1504.14733,1576.16333,-2077.98805,1311.42452,1637.73703,-1765.14927,2437.3052,2191.11607,-1741.46774,1182.82104,2329.40568,470.13171,2654.83429,3459.51604,-2080.08697,1041.88035,3419.12381,422.14222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
